id,date
0,20080315
1,20090217
2,20080826
3,19970306
4,19990329
5,20090219
6,20090211
7,20090218
8,19960808
9,19990915
10,20090213
11,20090216
12,20130321
13,20030527
14,20031002
15,20130509
16,20150902
17,20120906
18,20090319
19,20090113
20,19991119
21,20100805
22,20080911
23,20130516
24,
25,20161228
26,19940217
27,20010221
28,20010418
29,19970627
30,19990908
31,20080204
32,20071113
33,19930120
34,19970304
35,19991112
36,20021127
37,19991221
38,20080528
39,20070109
40,20080813
41,20080111
42,20071218
43,20071022
44,20111101
45,19890910
46,20071115
47,20071128
48,19960501
49,20071018
50,20071026
51,20080205
52,20081210
53,20080529
54,20110510
55,20080513
56,20080827
57,20080829
58,20080901
59,20080818
60,20081009
61,20031008
62,19970814
63,20081010
64,19931115
65,20050909
66,20030121
67,20080221
68,20080228
69,19960130
70,20071031
71,19930202
72,19981203
73,20080306
74,19921117
75,19920408
76,20080312
77,19930805
78,20071010
79,19920130
80,20120521
81,19960221
82,20060629
83,20071011
84,20071101
85,20080108
86,20081128
87,20071105
88,20071130
89,20060204
90,20080109
91,20071206
92,19951016
93,20081112
94,20071204
95,20111001
96,20070810
97,20060511
98,20071116
99,20110417
100,20080401
101,20080819
102,20080303
103,20081111
104,20011017
105,20130128
106,19910725
107,19910816
108,20080410
109,19991118
110,20080317
111,19911121
112,20081212
113,20081215
114,20120522
115,20100903
116,20071208
117,20121023
118,20110325
119,20080828
120,20080820
121,20080821
122,19940809
123,20031009
124,19940209
125,19930518
126,20040914
127,19990623
128,20130402
129,19950912
130,19950824
131,20020213
132,19980122
133,20010614
134,19980417
135,20101026
136,20121031
137,20120207
138,19980615
139,19980619
140,20130113
141,20110726
142,19931124
143,20121219
144,19930612
145,20120911
146,19980511
147,20130105
148,20110927
149,20121212
150,20121105
151,20111018
152,20101102
153,20130108
154,19920807
155,20120110
156,19960129
157,20110215
158,20120131
159,20110308
160,20100414
161,20120508
162,19950321
163,19960821
164,20100921
165,20120313
166,20110208
167,19960730
168,20130119
169,19980402
170,19980416
171,20100312
172,19980521
173,20130213
174,20111129
175,20031030
176,19911216
177,19920125
178,20000316
179,19950719
180,20121215
181,19940812
182,19911024
183,20120124
184,19910813
185,19930215
186,19940302
187,19930119
188,19940321
189,19920914
190,20100713
191,19930323
192,19930809
193,20100426
194,19961008
195,19930127
196,19971211
197,19970501
198,19951025
199,19960919
200,19930505
201,19930519
202,19960118
203,19931221
204,20060203
205,19930629
206,19940824
207,20130801
208,19931209
209,20110405
210,19970910
211,19971008
212,19941111
213,19950711
214,20070914
215,20160425
216,20140109
217,20090403
218,20110809
219,20110808
220,20110810
221,20110813
222,20070703
223,19950706
224,20090106
225,20120424
226,20151022
227,19980526
228,19960220
229,19970703
230,20110621
231,19981013
232,19990428
233,20021115
234,20090402
235,20071020
236,19990818
237,20070120
238,20000613
239,20020228
240,20020807
241,19990916
242,20010813
243,20010406
244,20020108
245,20010426
246,19920904
247,19980501
248,20081230
249,20100429
250,19920320
251,20121223
252,19910910
253,19910508
254,19920511
255,19920515
256,19920713
257,19930512
258,19930709
259,19941024
260,19951116
261,19941212
262,20110920
263,19950921
264,19960515
265,19961218
266,19980721
267,20001018
268,20070808
269,19980618
270,19930308
271,20121208
272,20120918
273,19930811
274,20090401
275,19931105
276,19950614
277,19951219
278,19980415
279,19971030
280,19950901
281,20130425
282,19980311
283,19960904
284,19950118
285,19980121
286,19950817
287,19990126
288,19970828
289,19990301
290,20060510
291,20010709
292,20120426
293,20010424
294,20000928
295,19970123
296,19980709
297,20050714
298,20040308
299,19990929
300,19990512
301,19980310
302,20080701
303,20090605
304,19990119
305,19990310
306,20040520
307,20030306
308,20030925
309,19991209
310,20000630
311,20011003
312,20131105
313,20160219
314,20031021
315,20031114
