id,month
0,200803
1,200902
2,200808
3,199703
4,199903
5,199608
6,199909
7,201303
8,200305
9,200310
10,201305
11,201509
12,201209
13,200903
14,200901
15,199911
16,201008
17,200809
18,
19,201612
20,199402
21,200102
22,200104
23,199706
24,200802
25,200711
26,199301
27,200211
28,199912
29,200805
30,200701
31,200801
32,200712
33,200710
34,201111
35,198909
36,199605
37,200812
38,201105
39,200810
40,199708
41,199311
42,200509
43,200301
44,199601
45,199302
46,199812
47,199211
48,199204
49,199308
50,199201
51,201205
52,199602
53,200606
54,200811
55,200602
56,199510
57,201110
58,200708
59,200605
60,201104
61,200804
62,200110
63,201301
64,199107
65,199108
66,199111
67,201009
68,201210
69,201103
70,199408
71,199305
72,200409
73,199906
74,201304
75,199509
76,199508
77,200202
78,199801
79,200106
80,199804
81,201010
82,201202
83,199806
84,201107
85,201212
86,199306
87,199805
88,201109
89,201211
90,201011
91,199208
92,201201
93,201102
94,201004
95,199503
96,201203
97,199607
98,201003
99,201302
100,199112
101,200003
102,199507
103,199110
104,199403
105,199209
106,201007
107,199303
108,199610
109,199712
110,199705
111,199609
112,199312
113,201308
114,199709
115,199710
116,199411
117,200709
118,201604
119,201401
120,200904
121,201108
122,200707
123,201204
124,201510
125,199707
126,201106
127,199810
128,199904
129,199908
130,200006
131,200208
132,200108
133,200201
134,199203
135,199109
136,199105
137,199205
138,199207
139,199307
140,199410
141,199511
142,199412
143,199612
144,199807
145,200010
146,199506
147,199512
148,199803
149,199501
150,199901
151,200107
152,200009
153,199701
154,200507
155,200403
156,199905
157,200807
158,200906
159,200405
160,200303
161,200309
162,201311
163,201602
164,200311
165,200101
166,200005
167,200511
168,199206
169,200206
170,199401
171,199704
172,200209
173,201603
174,200402
175,200401
176,200907
177,201309
178,200504
179,201701
180,199409
181,199910
182,200111
183,200002
184,200210
185,201101
186,200008
187,199502
188,200806
189,201307
190,201411
191,200204
192,201512
193,201306
194,201405
195,201505
196,199611
197,199711
198,199702
199,200103
200,201207
201,201310
202,201406
203,200207
204,201409
205,200609
206,200302
207,201502
208,200611
209,201503
210,200610
211,200407
212,201206
213,199505
214,199304
215,200705
216,201012
217,199404
218,201609
219,200501
220,201506
221,201608
222,201606
223,201508
224,200508
225,201511
226,201407
227,201403
228,200307
229,200109
230,200411
231,200112
232,201408
233,200905
234,200105
235,200304
236,200607
237,200909
238,200212
239,200306
240,201611
241,200506
242,200203
243,200502
244,200612
245,200706
246,201605
247,200404
248,201507
249,200601
250,200312
251,200308
252,200410
253,200704
254,200910
255,200604
256,201312
257,200608
258,200408
259,200503
260,200512
261,201607
262,200912
263,201112
264,201601
265,201412
266,200412
267,201504
268,200702
269,200603
270,200505
271,201501
272,201208
273,200911
274,200406
275,200703
276,201006
277,201402
278,201002
279,201610
280,200908
281,201702
282,201703
283,200510
284,201001
285,201410
286,201404
287,201005
288,199407
289,199606
290,199504
291,200012
292,199202
293,200001
294,199811
295,199603
296,199808
297,200011
298,200007
299,199212
300,199310
301,199405
302,199106
303,199802
304,199907
305,200205
306,199809
307,199210
308,199406
309,199604
310,200004
311,199309
312,199902
313,199104
314,199010
315,197705
316,197703
317,198304
318,198408
319,198604
320,198901
321,199012
322,198203
323,198911
324,198810
325,198905
326,199103
327,199002
328,199001
329,197712
330,198101
331,198009
332,199007
333,198611
334,198908
335,198907
336,198906
337,198903
338,199004
339,197701
340,198209
341,198401
342,199006
343,198801
344,198806
345,198902
346,198212
347,197601
348,198808
349,198004
